,comment,reference,is_related
756,"медитировать можно вообще как угодно вот. истина. медитировать можно стоя, можно во время бега, плавания. во время чистки картошки тоже можно медитировать. медитация это не позы из йоги, не атрибуты бля.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
757,"у тебя может тесто высокое. мог бы не в дрочку сублимировать, а кокочаться, бить бла и быть альфачом.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
758,"все равно что я сейчас зайду на форум для балерин и начну критиковать технику исполнения лебединого озера и доказывать, что это все не нужно, лол. такие смешные эти агрессивные шизики.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
759,это не правда. переехал с одного края россии на другой разница часов один хуй график сбивается периодически.,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
760,"как быстрее читать книги! лол. привет маркетологам, придумавшим быстрочтение.научись читать. научился. все, те можешь читать быстро книги. но сможешь ли ты усваивать прочитанное. нет конечно же. ","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
761,мне бы хоть нормальное чтение бы. а то слов в минуту это уровень даже не второго класса.,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
762,ну что я говорил. за полчаса заспамили тред. пятнадцатирублевые.,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
763,"неспешно начитанная аудиокнига несколько дней забирает. твоя цель поскорее закончить чтение. если литература художественная, то я часто останавливаюсь, представляю образы в голове это намного приятнее!","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
764,"да вот только недавно задумался об этом. пока начал с бега, там может немного сброшу жирок и пойду в кокочалочку. к старости начинаешь задумываться о теле.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
765,"да, котаны, у программиста работа сидячая, как и у другого офисного работника, а соответственно он очень подвержен двум популярным заболеваниям простатит и геморрой.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
766,"тут можно спорить по поводу рейтинговости болезни. например, есть еще остеохондроз и ментальные болезни.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
767,"а я вот сонный сто часов вс без толку. открываю книжку, пять минут читаю и хочу спать. сижу за комплюхтером, начинаю читать что-нибудь тут хочу спать. ","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
768,какой режим дня. ночью спишь. в темной комнате спишь. проветриваешь комнату перед сном. в комнате тихо или звук с улицы идет.,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
769,"если я буду дрочить каждый день, я весь прыщами покроюсь. уже проверено. будут синяки под глазами, будут белые пупырышки, сейчас же гладкая кожа.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
770,"еще на нофапе я высыпаюсь в среднем за пять часов без будильника, а так сплю до двуъ часов. еще я более смелый и агрессивный на нофапе, более общителен. ","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
771,а еблет прыщавый после фапа это тоже самовнушение.,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
772,"по-разному, но в основном где-то в два ночи ложусь и в восемь утра встаю. это счас, летом. зимой ложусь пораньше, но сплю энивей до утра. не люблю свет вообще.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
773,"зачем ты переспрашиваешь, ты что, дурачок.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
774,"сук, устраивайся к нам. у нас команда кротов блядь, сидят работают почти в полной темноте, а я охуеваю, мне нужно солнце!","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
775,не люблю свет вообще. утром днём жалюзи яркость моника на скорее всего ,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
776,"не рекомендую в темноте постоянно сидеть. на свете слишком много всего завязано, в том числе выработка мелатонина, от которого ты засыпаешь и просыпаешься. ","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
777,"я начал превозмогать и привык. понял, что лучше не будет. но было кое что, что я хотел сделать, а не для работы там","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
778,точку по привычке поставил,"делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
779,"по себе могу сказать так жалюзи закрываю уже по привычке. когда с родителями жил, то типо просыпаюсь такой, а ебало опухшее. ","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
780,"ой бля, фрилансоблядь, иди нахуй","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
781,"это правда, что если сидеть перед сном за компьютером то будут снится плохие сны.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
782,"я для себя пришёл к выводу, что надо ставить не будильник, а засыпальник. у меня на вечера стоит. когда звонит бросаю текущую задачу на месте это охуенно!","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
783,"как можно засыпать раньше времени, когда спать еще не хочется.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
784,"отожмись раз и присядь не обязательно за раз, действует стабильно.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
785,"практическую психологию! спасибо, что не в векторную","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",0
786,"комплюктер тебя постоянно чемто развлекает или озадачивает, ты сидишь за ним до утра, пока организм уже на хуй посылать начнт и глаза будут прям перед монитором закрываться. ты этот момент, когда уже ","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
787,"ты этот момент, когда уже в край забанный организм вырубается, называешь спать хочется.нет. я хочу спать примерно через часов после пробуждения. если я встану в , то ложиться в бесполезно, я не усну.","делимся успехами, как достичь максимальной производительности мозга, чтобы хорошо решать задачи и писать классный код. ложусь спать в час, встаю в семь, это было непросто!",1
788,такя хочу сам на днях устроиться в колцентробъясни плз что там и как надо делать,"двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",1
789,подумой блеать это пиздец а не работа. мимобывшийоператор,"двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",1
790,"зависит от того, входящие обрабатываешь или сам звонишь, есть смешанные, но там в основном клиентов обзваниваешь своей компании.","двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",1
791,"слышь бабка блядь ебаная. купила быстро, блядь. сука","двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",1
792,"входящие скорее всего там мне друг говорил, что есть выбор","двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",0
793,"я ток пару часов на двощ, как отвечать на сообщение","двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",0
794,выпились нахуй с такой работой.,"двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",0
795,"а ты можешь предложить лучше. сидишь в офисе, пинаешь хуи. топ.","двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",0
796,покупайте у нас хуйню или мама умрет через дней,"двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",1
797,"завтра тебя перекинут на другой проект, входящие какого-нибудь сбербанка и ты будешь думать о суициде.","двач, устроился оператором в коллцентре, предлагаю людям какую-то хуйню. с каждого согласившегося идет прибыль. так вот, как мне продуктивность увеличить, как этих ссаных бабок можно уговорить.",1
798,"у меня на билайне было так минут назад, кое как с раза от пришли от киви. видимо лагает что-то, хакиры ахуели.","на мегафоне перестали входящие смс приходить, не могу ничего сделать, даже от сервисов мегафона не доходят. сам сеть мегафона работает. анон, что делать. может в андроиде что-то сломалось.",1
799,у меня уже давно ничего не работает,"на мегафоне перестали входящие смс приходить, не могу ничего сделать, даже от сервисов мегафона не доходят. сам сеть мегафона работает. анон, что делать. может в андроиде что-то сломалось.",1
800,"охуеная книга, только конец слитый",какую последнюю книгу вы прочитали.,1
801,пелевинскую последнюю. чисто из любопытства.,какую последнюю книгу вы прочитали.,1
802,перечитал хищные вещи века стругацких,какую последнюю книгу вы прочитали.,1
803,"селедка. чо там в конце. читать такое говно лень, а знакомая бдсмщицашлюха рикаминдовала.",какую последнюю книгу вы прочитали.,1
804,сейчас бы в мерятся тачками и корытами мимовполнеуспешный,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
805,"этот сельский коттедж на оп пикахох, лол. такое же говно родители уже джва года продать не могут.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
806,"в рф владеет всех денег страны. так что шанс, что ктото из этого процента тут очень мал.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
807,во всём б нет чувака богаче родителей этого парня.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
808,"мать погибла в дтп в такси, когда ехали встречать отца, пролежал в больничке месяца, отец спился, живм теперь вдвом на пять к в мухосранске, норм.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
809,oh you.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
810,"что это за сельское убожество, богатство уровня послка в котором пенсионеров живут.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
811,"уебищная люстра, которую еще бабка покупала в сельпо. линолеум блядь. эти балясины, которые выточил дядя сережа.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
812,"о, фотобездарность перекатилась.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
813,"понастоящему богатых людей здесь нет, а те, у кого родители из последних сил купили большой дом и дорогую машину вполне. только это тоже не богатство, а смещнные понятия.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
814,"тащемта, это фордсув достаточно дешманский.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
815,"езжу на подаренном на двадцать лет батей cl, карманных дают двести к, просаживаю на бухло и прогулочки с тянками. ","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
816,"я писец нищий, хожу с кнопочной нокией и живу на степуху. еще и хохол. писец. мимобогачи, ведь для некоторых из вас то, что я трачу за месяц это краманные расходы на один вечер. ","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
817,"батя сдат нищукам пару квартир, весь профит отдат мне","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
818,"для фантазирующего школьника сто к большие деньги. рабочий же человек, живущий на свои, знает, что это на пожрать и посрать, да рыдван заправить, а не как не на бухло и тяночек.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
819,"листва-богатейка, ты еще тут. про увлечения так и не рассказала","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
820,"а зачем мне на пожрать и посрать, если за меня платят.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
821,"хз, ты видимо тупой. я сам не далеко от тебя живу, но клянчить деньги это дно. мимо украинец зп двести к гивен.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
822,"фантазер, иди уже мамкины котлетки в тесной кухоньке хрущобы жрать.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
823,"мимо успешный по вашим меркам. живу в поддеэсье, на одном переулке рядом дома министров, посольские и прочие. напротив дом чувака, именем которого названо пару улицон уже правда умер давно, живут внуки.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
824,"пруфчанских не будет ибо нечего пруфить, фикс.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
825,почему дела по управлению тебе не передаст. чтобы ты сам ебался с оплатами квитанций и поиском жильцов.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
826,"не, прост скучно. а общаться с бездарным фотографом, транжирящим мамашины деньги неинтересно ибо он тупой как пробка","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
827,что ты зеленого долбаёба кормишь. совсем дурачок.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
828,зато не пиздабол как зелень в этом треде.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
829,"жильцы и так есть, один проблемный долбоёб, может не платить по три месяца, но потом разом выкидывает всю сумму. ","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
830,"да лучше бы он пиздел, рили. я не верю, что можно быть таким мудаком.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
831,"всегда ору с того, как пидорахам, которым повезло наворовать деньжат, строят какие-то безвкусные цыганские хоромы","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
832,"да, но почему этим занимается твой отец, если профит получаешь ты. зачем ему эта лишняя забота, которую он мог бы спокойно скинуть на тебя.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
833,"судя по рукам, ты там кафель в сральнике ложил, а фоткал, пока хозяева не видят.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
834,без понятия. видимо не такая уж это и забота чтобы её скидывать,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
835,"rich russian peopleблядь, в голос с этого бохатства в садовом товариществе петушки. а эта столярка, этот ламинат и эта бохатая люстра, мммм.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
836,"реквестирую тут свою просьбу из прошлого треда, если есть возможность у кого подкинуть немного денег на пивко. спасибо за внимание, братишки.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
837,опахуя запрягли делать ремонт или мыть парашу в илитном доме и он решил потралеть двощ типа он у мамы илитарий и богатей. хули нам твои псевдосупы. давай норм пруф пачки денег и на них суп нормальный.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
838,"на оппичах, типа, бохатый. выглядит как типикал пидорашка с достатком ниже среднего.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
839,в илитном доме илитный дом уровня мухосранска девностых годов.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
840,"ой сматрите, да у нас тут багач. в стране с эпидемией спида и туберкулеза, в стране, где чуть больше, чем населения нищеброды уровня африки. страна чуханов. и ты король чуханов. чтобы ты сдох, гнида. ","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
841,ебать обосрался с оппиков. rich russian people oppic,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
842,а суп. или фотки не твои. вы как маленькие блядь. ,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
843,"еще и хохол. ну ты и дебил. хотя ты сам виноват, если подумать.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
844,"фотай свой дом, сравним. или у тебя ебаная хрущевка в чертаново.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
845,состоятельный кун помоги денежкой.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
846,"дата где, балабол. дата. сегодняшняя. ни за что не поверю что у кого-то может быть такой дом. откуда фотки напиздел. не гуглятся.","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
847,"у cl так-то другие фары совсем, иди-ка ты на хуй","rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",0
848,какая нибудь увесистая пачка денег с супом никто наличку не хранит поехавший пальмы на мальдивах с супомкак там щас любой нищук может в кредит слетать куда угодно.,"rich russian people - есть тут реально богатые люди, которые крутятся в богемных тусовках или просто имеют доходы, расскажите про свою жизнь, чем питаетесь, едите ли дома. ",1
